代码,名称,涨停日,3日前涨幅,2日前涨幅,1日前涨幅,成交量变化率,价格条件超额,前一日收盘价,前一日最低价,10日均线,20日均线,今日最高价,今日最低价,当前价格
600203,福日电子,20250225,6.82%,-8.77%,-1.35%,434.40%,2.40%,11.70,11.57,10.94,10.25,12.44,11.43,12.04
601113,华鼎股份,20250225,4.17%,-2.00%,-0.68%,100.85%,6.87%,4.38,4.33,4.11,4.06,4.34,4.25,4.34
002097,山河智能,20250225,1.58%,-3.44%,-4.95%,110.37%,9.59%,8.26,8.23,7.99,7.63,8.85,8.32,8.71
600810,神马股份,20250225,3.13%,-4.67%,-0.24%,53.14%,5.60%,8.15,8.08,7.75,7.60,8.25,7.89,8.15
603109,神驰机电,20250225,9.98%,-3.73%,-10.02%,97.94%,4.84%,21.38,21.38,21.56,19.84,21.80,21.05,21.75
002824,和胜股份,20250225,8.08%,-4.20%,-6.34%,73.74%,11.68%,18.60,18.55,17.87,17.19,20.52,18.36,20.52
603166,福达股份,20250225,2.86%,-5.56%,-6.26%,75.33%,10.39%,10.19,10.19,10.53,10.28,11.75,10.60,11.75
600446,金证股份,20250225,3.49%,-2.49%,-9.16%,41.12%,6.71%,18.14,18.05,18.42,17.18,18.82,18.44,18.67
