代码,名称,涨停日,3日前涨幅,2日前涨幅,1日前涨幅,成交量变化率,价格条件超额,前一日收盘价,前一日最低价,10日均线,20日均线,今日最高价,今日最低价,当前价格
603660,苏州科达,20250227,5.59%,-9.96%,-7.06%,174.85%,5.32%,7.90,7.75,8.31,8.07,7.93,7.70,7.88
605300,佳禾食品,20250227,10.03%,-9.98%,-10.01%,45.78%,3.27%,14.93,14.93,15.49,14.46,14.80,14.05,14.46
000759,中百集团,20250227,4.80%,-3.34%,-9.98%,45.49%,8.42%,9.11,9.11,9.12,8.70,9.57,8.53,9.14
605179,一鸣食品,20250227,4.71%,-3.26%,-9.43%,34.28%,7.05%,19.88,19.76,20.30,19.96,20.41,19.19,20.16
