,选项,指标,20240930,20240630,20240331,20231231,20230930,20230630,20230331,20221231,20220930,20220630,20220331,20211231,20210930,20210630,20201231,20191231,20181231
27,每股指标,每股资本公积金,17.921984,17.921984,17.921984,17.921984,17.917947,17.917947,17.917947,17.917947,17.860209,2.414122,,2.414122,,2.410655,1.598891,1.589777,1.009
28,每股指标,每股盈余公积金,1.085361,1.085361,1.085361,1.085361,0.454587,0.454587,0.454587,0.454587,0.126125,0.168167,,0.168167,,0.064681,1.13653,0.728175,0.491506
29,每股指标,每股留存收益,5.264357,5.178625,5.424108,4.725142,3.65534,2.95488,2.537296,2.051112,1.669851,1.82295,,0.714695,,0.280884,1.902744,2.066271,1.365782
30,每股指标,每股营业收入,3.961927,3.052844,1.742081,6.485622,4.87557,3.237037,1.618557,3.89437,2.876457,2.670693,,3.348851,,1.784431,6.782899,4.824522,3.507313
31,每股指标,每股营业总收入,3.961927,3.052844,1.742081,6.485622,4.87557,3.237037,1.618557,3.89437,2.876457,2.670693,,3.348851,,1.784431,6.782899,4.824522,3.507313
32,每股指标,每股息税前利润,1.379129,1.315599,,3.558589,2.384164,1.664048,,1.952604,1.54385,1.545507,,1.485451,,0.930831,2.457201,1.665684,0.941836
33,盈利能力,净资产收益率(ROE),5.19,4.8,2.91,13.71,9.03,5.94,3.03,16.32,20.71,23.67,,35.7,,24.23,43.51,32.89,24.0
34,盈利能力,摊薄净资产收益率,5.136515,4.799027,2.871232,12.91207,8.78561,5.864582,3.0005,7.22526,5.523074,21.167648,11.810891,28.577539,,20.196531,44.215179,28.070657,22.175186
35,盈利能力,净资产收益率_平均,5.194423,4.84461,2.913052,13.68638,9.109293,5.988296,3.034885,12.59172,9.598773,23.673175,12.806692,41.261612,,28.235212,43.465281,33.452675,22.175186
36,盈利能力,净资产收益率_平均_扣除非经常损益,4.791358,4.542151,2.792872,13.161223,8.667682,5.890412,3.017018,12.149005,9.468864,23.566765,12.647901,41.59611,,28.768871,42.400015,33.055433,21.905564
37,盈利能力,摊薄净资产收益率_扣除非经常损益,4.737943,4.499414,2.752777,12.416624,8.359691,5.76872,2.982835,6.971225,5.448326,21.0725,11.810891,28.809207,,20.578265,43.131515,27.737339,21.905588
38,盈利能力,息税前利润率,34.809553,43.094224,46.080739,54.868899,48.900226,51.406521,48.63248,50.139156,53.671925,57.869128,65.509776,44.357054,49.835085,52.164017,36.226423,34.525373,26.853494
39,盈利能力,总资产报酬率,5.077466,4.879475,2.939476,13.982123,9.479258,6.740769,3.204452,12.826316,10.076587,15.889688,8.713131,22.421111,,15.283479,19.545212,16.670157,10.626107
40,盈利能力,总资本回报率,5.581094,5.351485,3.240496,15.354948,10.564487,7.495463,3.566405,14.723813,11.544104,21.524063,14.582336,31.886789,,22.939911,29.729998,25.358945,16.437755
41,盈利能力,投入资本回报率,5.027024,4.70424,2.821495,13.173512,8.787891,5.77804,2.916817,11.424697,8.478186,15.434507,10.411117,25.319113,,18.377044,23.939631,19.784083,12.951199
42,盈利能力,息前税后总资产报酬率_平均,4.6005,4.274042,2.547277,12.067075,8.552606,5.771407,2.885492,11.425766,8.400077,13.29628,7.215955,18.88325,,12.83223,15.786904,13.285842,8.201949
43,盈利能力,毛利率,67.339868,67.446694,71.571193,74.498355,71.457033,71.732099,72.174678,77.388984,78.360339,80.913301,80.09373,73.989774,73.676921,73.759956,67.99853,64.727527,59.884863
44,盈利能力,销售净利率,31.539621,37.61994,39.932424,47.215153,44.119947,43.867819,43.791778,43.457067,44.742165,48.424118,54.253259,37.357887,41.840404,43.797661,29.260519,27.516157,20.727346
